_heading,year,_year_done,_description,_dimensions,id,keywords
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Perspective of service buildings, pencil on tracing paper, ca. 1923, 26×33 cm",26×33 cm,ARKM.1973-05-09619,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Perspective of crematorium, ink on tracing paper, ca. 1925, 20×23 cm",20×23 cm,ARKM.1973-05-09582,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Model of crematorium, photo, ca. 1925",no_size,ARKM.1973-103-910,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Perspective of main chapel, ink on tracing paper, ca. 1923, 18×16 cm",18×16 cm,ARKM.1973-05-09846,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Sketches of the main chapel, pencil on tracing paper, ca. 1923, 33×34 cm",33×34 cm,ARKM.1973-05-09755,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Elevation of main chapel, ink on linen, 1924, 47×59 cm",47×59 cm,ARKM.1973-05-09866,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Cross section of main chapel, ink on linen, 1924, 47×59 cm",47×59 cm,ARKM.1973-05-09875,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Long section of main chapel, ink on linen, 1924, 47×59 cm",47×59 cm,ARKM.1973-05-11558,
"Chapel and Chapel of Rest, Eastern Cemetery, Malmö",1927,1927,"Plan of main chapel, ink on linen, 1924, 47×59 cm",47×59 cm,ARKM.1973-05-11557,
"Ljusnan Sulphate Mill, Marmaverken",1927,1927,"Bird’s-eye view, copy mounted on cardboard, ca. 1927, 59×96 cm",59×96 cm,ARKM.1973-05-01999A;ARKM.1973-05-01999B,
"Ernst Malmström Family Tomb, Northern Cemetery, Stockholm",1927,1927,"Malmström Tomb (and Rettig Tomb by Gunnar Asplund), photo, ca. 1928",no_size,ARKM.1973-103-9113,
"Ernst Malmström Family Tomb, Northern Cemetery, Stockholm",1927,1927,"Malmström Tomb, photo, ca. 1931",no_size,ARKM.1973-103-698,
"Ernst Malmström Family Tomb, Northern Cemetery, Stockholm",1927,1927,"Elevations, pencil on tracing paper, ca. 1930, 24×21 cm",24×21 cm,ARKM.1973-05-07249,
"Ernst Malmström Family Tomb, Northern Cemetery, Stockholm",1927,1927,"Elevations, pencil on tracing paper, ca. 1930, 24×21 cm",24×21 cm,ARKM.1973-05-07248,
"Ernst Malmström Family Tomb, Northern Cemetery, Stockholm",1927,1927,"Elevations, pencil on tracing paper, ca. 1930, 24×21 cm",24×21 cm,ARKM.1973-05-07270,
"Ludvig Holming Family Tomb, Gothenburg",1929,1929,"Perspective, pencil on tracing paper, 1929, 21×32 cm",21×32 cm,ARKM.1973-05-07130,
"Ludvig Holming Family Tomb, Gothenburg",1929,1929,"Plan, pencil on tracing paper, 1929, 21×31 cm",21×31 cm,ARKM.1973-05-07125,
"Ludvig Holming Family Tomb, Gothenburg",1929,1929,"Side elevation, pencil on tracing paper, 1929, 20×31 cm",20×31 cm,ARKM.1973-05-07126,
"Ludvig Holming Family Tomb, Gothenburg",1929,1929,"Holming tomb, photo, ca. 1929",no_size,ARKM.1973-103-081-01,
"T. A. Bergen Tomb, Utterö",1929,1929,"Plan and perspective, pencil on tracing paper, ca. 1929, 46×52 cm",46×52 cm,ARKM.1973-05-07068,
"T. A. Bergen Tomb, Utterö",1929,1929,"Bergen tomb, photo, ca. 1929",no_size,ARKM.1973-103-711,
"Skoghallsverken, Skoghall",1929,1929,"East elevation (alt. A), pencil on tracing paper, 1934, 46×36 cm",46×36 cm,ARKM.1973-05-02044,
"Skoghallsverken, Skoghall",1929,1929,"East elevation (alt. B), pencil on tracing paper, 1934, 46×36 cm",46×36 cm,ARKM.1973-05-02045,
"Skoghallsverken, Skoghall",1929,1929,"East elevation (alt. C), pencil on tracing paper, 1934, 46×36 cm",46×36 cm,ARKM.1973-05-02046,
"Skoghallsverken, Skoghall",1929,1929,"Model, photo, ca. 1934",no_size,ARKM.1973-103-298,
Gravestones,1930,1930,"Book spread from Gravkonst (1930) with images of gravestones designed by Sigurd Lewerentz, 29×44 cm",29×44 cm,ARKM.1973-05-12099-029;ARKM.1973-05-12099-030,
Stockholm Exhibition 1930,1930,1930,"Perspective of floating dance floor, watercolour, gouache and pencil on cardboard, 1930, 29×39 cm",29×39 cm,ARKM.1973-05-05006,
Stockholm Exhibition 1930,1930,1930,"Plate from Décoration Égyptienne, 1925, 38×28 cm",38×28 cm,ARKM.1973-05-05020,
Stockholm Exhibition 1930,1930,1930,"Exhibition mast, photos, 1930",no_size,ARKM.1986-104-01,
Stockholm Exhibition 1930,1930,1930,"Exhibition mast, photos, 1930",no_size,ARKM.1985-109-240,
Stockholm Exhibition 1930,1930,1930,"Exhibition mast, photos, 1930",no_size,ARKM.1985-109-241,
Stockholm Exhibition 1930,1930,1930,"Exhibition mast, photos, 1930",no_size,ARKM.1976-107-0538,
Stockholm Exhibition 1930,1930,1930,Model of exhibition mast,no_size,ARKM.2002-215-01,
Stockholm Exhibition 1930,1930,1930,"Drawing of exhibition banner, watercolour and pencil on paper mounted on cardboard, 1928, 31×25 cm",31×25 cm,ARKM.1973-05-05014,
Stockholm Exhibition 1930,1930,1930,"Exhibition poster proposal, gouache, ink and pencil on cardboard, 1929, 31×19 cm",31×19 cm,ARKM.1973-05-05012,
Stockholm Exhibition 1930,1930,1930,"Exhibition poster, 100×62 cm",100×62 cm,ARKM.1973-05-11551,
Stockholm Exhibition 1930,1930,1930,"Special poster, 100×62 cm",100×62 cm,ARKM.1973-05-11552,
Stockholm Exhibition 1930,1930,1930,"Exhibition stand for Finbruken, photo, 1930",no_size,ARKM.1976-107-0523,
Stockholm Exhibition 1930,1930,1930,"Gröna Udden café, photo, 1930",no_size,ARKM.1973-103-442,
Stockholm Exhibition 1930,1930,1930,"Bedroom interior in rental apartment No. 2, photo, 1930",no_size,ARKM.1973-103-460,
Stockholm Exhibition 1930,1930,1930,"Lady’s writing desk for Harald Westerberg, photo, 1930",no_size,ARKM.1973-103-459,
Stockholm Exhibition 1930,1930,1930,"Single-family house No. 47, photo, 1930",no_size,ARKM.1985-109-311,
Stockholm Exhibition 1930,1930,1930,"General Motors bus, photo, 1930",no_size,ARKM.1985-109-206,
Stockholm Exhibition 1930,1930,1930,"Drawing of bus for General Motors, pencil on tracing paper, ca. 1930, 50×64 cm",50×64 cm,ARKM.1973-05-04958,
Stockholm Exhibition 1930,1930,1930,"Perspective of display stand for AB Byggnadsvaror, watercolour, gouache and pencil on cardboard, 1930, 32×41 cm",32×41 cm,ARKM.1973-05-04832,
Stockholm Exhibition 1930,1930,1930,"Display stand for PUB with the exhibition mast in the background, photo, 1930",no_size,ARKM.1985-109-235,
Stockholm Exhibition 1930,1930,1930,"Drawings of wallpaper, pencil on tracing paper, 1929, 25×28 cm",25×28 cm,ARKM.1973-05-04872,
Stockholm Exhibition 1930,1930,1930,"Drawings of wallpaper, pencil on tracing paper, 1929, 25×28 cm",25×28 cm,ARKM.1973-05-04870,
Stockholm Exhibition 1930,1930,1930,"Drawings of wallpaper, pencil on tracing paper, 1929, 25×28 cm",25×28 cm,ARKM.1973-05-04864,
Stockholm Exhibition 1930,1930,1930,"Drawings of wallpaper, pencil on tracing paper, 1929, 24×28 cm",24×28 cm,ARKM.1973-05-04865,
Stockholm Exhibition 1930,1930,1930,"Wallpaper sample, 99×50 cm",99×50 cm,ARKM.1973-05-11133,
Stockholm Exhibition 1930,1930,1930,"Street elevation of single-family house No. 47, ink on cardboard, 1929, 30×32 cm",30×32 cm,ARKM.1973-05-04769,
Stockholm Exhibition 1930,1930,1930,"Garden elevation of single-family house No. 47, ink on cardboard, 1929, 30×32 cm",30×32 cm,ARKM.1973-05-04770,
Stockholm Exhibition 1930,1930,1930,"Perspective of villa (model 13), watercolour and pencil on cardboard, ca. 1930, 30×30 cm",30×30 cm,ARKM.1973-05-04807,
Stockholm Exhibition 1930,1930,1930,"Street elevation, watercolour and pencil on cardboard, ca. 1930, 30×30 cm",30×30 cm,ARKM.1973-05-04803,
Stockholm Exhibition 1930,1930,1930,"Ground floor plan, pencil on cardboard, ca. 1930, 30×30 cm",30×30 cm,ARKM.1973-05-04800,
Stockholm Exhibition 1930,1930,1930,"First floor plan, pencil on cardboard, ca. 1930, 30×30 cm",30×30 cm,ARKM.1973-05-04801,
Stockholm Exhibition 1930,1930,1930,"Sketch for a chair for NK, pencil on tracing paper, ca. 1930, 27×35 cm",27×35 cm,ARKM.1973-05-04911,
Stockholm Exhibition 1930,1930,1930,"Postcard with lady’s writing desk for Harald Westerberg, 1930, 11×15 cm",11×15 cm,ARKM.1973-05-04919,
Stockholm Exhibition 1930,1930,1930,"Interior perspective, rental apartment No. 2, watercolour and pencil on cardboard, ca. 1930, 30×30 cm",30×30 cm,ARKM.1973-05-04818,
Stockholm Exhibition 1930,1930,1930,"Exterior perspective and plan, rental apartment No. 2, watercolour and pencil on cardboard, ca. 1930, 30×30 cm",30×30 cm,ARKM.1973-05-04816,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0001,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0002,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0006,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0004,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0003,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0007,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0010,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0013,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0015,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0012,
"Travel Photos, Paris",1930,1930,"Sigurd Lewerentz’s travel photos from Paris, 1930.",no_size,ARKM.1973-103-116-0016,
"PUB, Stockholm",1930,1930,"Elevation, extension proposal, collage, gouache and pencil on cardboard, 1931, 43×24 cm",43×24 cm,ARKM.1973-05-02522,
"PUB, Stockholm",1930,1930,"Exterior perspective, extension proposal, watercolour, gouache, pencil and ink on cardboard, ca. 1931, 38×41 cm",38×41 cm,ARKM.1973-05-02525,
"PUB, Stockholm",1930,1930,"Perspective, display stand for Stockholm Exhibition, gouache and pencil on cardboard, 1930, 31×31 cm",31×31 cm,ARKM.2004-17-043,
Boat,1930,1930,"Sketch of boat, pencil on tracing paper, ca. 1930, 50×41 cm",50×41 cm,ARKM.1973-05-02292,
Boat,1930,1930,"Sketch of boat cabin, pencil on tracing paper, ca. 1930, 47×58 cm",47×58 cm,ARKM.1973-05-02305,
Boat,1930,1930,"Lewerentz boat tied up at Utö, Stockholm archipelago, photo, ca. 1935",no_size,ARKM.1973-103-304-25,
"Restaurant, Hotel Eden, Stockholm",1930,1930,"Interior perspective, gouache, watercolour and pencil on cardboard, 1930, 30×42 cm",30×42 cm,ARKM.1973-05-01854,
"Restaurant, Hotel Eden, Stockholm",1930,1930,"First floor plan, pencil on tracing paper, 1930, 44×92 cm",44×92 cm,ARKM.1973-05-01737,
"Shopfronts, Stockholm",1930s,1930s,"Perspective (showroom), watercolour and pencil on paper mounted on cardboard, 1932, 38×25 cm",38×25 cm,ARKM.1973-05-02568,
"Shopfronts, Stockholm",1930s,1930s,"Illuminated sign (dairy), pencil on tracing paper, 1932, 73×88 cm",73×88 cm,ARKM.1973-05-12364-006,
"Shopfronts, Stockholm",1930s,1930s,"Perspective (grocery store), watercolour, gouache and pencil on cardboard, 1932, 47×36 cm",47×36 cm,ARKM.1973-05-02504,
"Shopfronts, Stockholm",1930s,1930s,"Perspective (hairdresser), pencil on paper, ca. 1932, 16×24 cm",16×24 cm,ARKM.1973-05-12364-001,
"Shopfronts, Stockholm",1930s,1930s,"Perspective (hairdresser), pencil and ink on tracing paper, 1932, 26×24 cm",26×24 cm,ARKM.1973-05-12364-003,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-001,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-002,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-003,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-004,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-005,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-006,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-007,
Shop Interiors,1930s,1930s,"Sketches for shelving, stands and display cases, pencil on paper, ca. 1930, 20×17 cm.",no_size,ARKM.1973-05-12340-008,
Idesta and BLOKK,1930s,1930s,"Drawing of glass and steel partition for Helsingborg Concert Hall, pencil on tracing paper, 1930, 31×32 cm",31×32 cm,ARKM.1973-05-12328-005,
Idesta and BLOKK,1930s,1930s,"Mock-up of advertisement, photo with added text, ca. 1940",no_size,ARKM.1985-104-404,
Idesta and BLOKK,1930s,1930s,Wooden display type,no_size,ARKM.1973-05-205-10-01,
Idesta and BLOKK,1930s,1930s,Metal display type,no_size,ARKM.1973-05-205-10-02,
Idesta and BLOKK,1930s,1930s,"Drawing of hospital window, pencil on tracing paper, 1935, 47×24 cm",47×24 cm,ARKM.1973-05-12301-001,
Idesta and BLOKK,1930s,1930s,"Drawing of hospital partitions, pencil on tracing paper, 1931, 46×22 cm",46×22 cm,ARKM.1973-05-12328-003,
Idesta and BLOKK,1930s,1930s,"Drawing of school doors, pencil on tracing paper, 1930, 22×44 cm",22×44 cm,ARKM.1973-05-12328-004,
Idesta and BLOKK,1930s,1930s,"Drawing of glass and steel partition for tram station, pencil on tracing paper, 1931, 37×22 cm",37×22 cm,ARKM.1973-05-12328-002,
Idesta and BLOKK,1930s,1930s,"Drawing of glass and steel partition for theatre, pencil on tracing paper, 1930, 37×20 cm",37×20 cm,ARKM.1973-05-12328-001,
Idesta and BLOKK,1930s,1930s,"Poster, ca. 1930, 83×78 cm",83×78 cm,ARKM.1973-05-11555,
Idesta and BLOKK,1930s,1930s,"Leaflet with typefaces, 1932, 30×21 cm",30×21 cm,ARKM.1973-05-12503-012,
Idesta and BLOKK,1930s,1930s,"Leaflets for Idesta and BLOKK, 1932, 30×21 cm",30×21 cm,ARKM.1973-05-11656-001,
Idesta and BLOKK,1930s,1930s,"Leaflets for Idesta and BLOKK, 1932, 30×21 cm",30×21 cm,ARKM.1973-05-12503-011,
Idesta and BLOKK,1930s,1930s,"Leaflets for Idesta and BLOKK, 1932, 30×21 cm",30×21 cm,ARKM.1973-05-12503-006,
Idesta and BLOKK,1930s,1930s,"Leaflets for Idesta and BLOKK, 1932, 30×21 cm",30×21 cm,ARKM.1973-05-12503-007,
"Philips House, Stockholm",1931,1931,"Axonometric perspective, ink on cardboard, 1930, 66×55 cm",66×55 cm,ARKM.1973-05-02729,
"Philips House, Stockholm",1931,1931,"Section of warehouse, pencil on tracing paper, 1930, 76×58 cm",76×58 cm,ARKM.1973-05-02662,
"Philips House, Stockholm",1931,1931,"Perspective of entrance and gateway to yard, watercolour, gouache and pencil on cardboard, ca. 1930, 33×54 cm",33×54 cm,ARKM.1973-05-02728,
"Philips House, Stockholm",1931,1931,"Street view of office building and warehouse, photo, ca. 1931",no_size,ARKM.1973-103-0280,
"Philips House, Stockholm",1931,1931,"Entrance and gateway to yard, photo, ca. 1931",no_size,ARKM.1973-103-036-05,
"Philips House, Stockholm",1931,1931,"Gateway seen from the yard, photo, ca. 1931",no_size,ARKM.1973-103-036-04,
"Philips House, Stockholm",1931,1931,"Street facade with neon signs, photo, ca. 1931",no_size,ARKM.1985-107-03-02,
"Philips House, Stockholm",1931,1931,"Display case with Philips products in the entrance hall, photo, ca. 1931",no_size,ARKM.1973-103-036-06,
"Philips House, Stockholm",1931,1931,"Stairwell, photo, ca. 1931",no_size,ARKM.1985-107-03-01,
"Philips House, Stockholm",1931,1931,"Meeting room with photo collage, photo, ca. 1931",no_size,ARKM.1973-103-292,
"Philips House, Stockholm",1931,1931,"Directors’ office, photo, ca. 1931",no_size,ARKM.1997-110-1023,
"Philips House, Stockholm",1931,1931,"Door between office floor and stairwell, photo, ca. 1931",no_size,ARKM.1973-103-036-08,
"Philips House, Stockholm",1931,1931,"The yard from northwest, photo, ca. 1931",no_size,ARKM.1973-103-036-03,
"Philips House, Stockholm",1931,1931,"Warehouse with loading bay, photo, ca. 1931",no_size,ARKM.1973-103-036-09,
"Philips House, Stockholm",1931,1931,"The yard from north, photo, ca. 1931",no_size,ARKM.1973-103-036-07,
"Philips House, Stockholm",1931,1931,"Byggmästaren, journal, 30×21 cm",30×21 cm,ARKM.1973-05-12606,
"Philips House, Stockholm",1931,1931,"Interior perspective, furniture in director’s office, watercolour, gouache and pencil on cardboard, ca. 1930, 51×28 cm",51×28 cm,ARKM.1973-05-02724,
"Philips House, Stockholm",1931,1931,"Drawing of chair, pencil on tracing paper, 1930, 27×28 cm",27×28 cm,ARKM.1973-05-02671,
"Philips House, Stockholm",1931,1931,"Drawing of stool, pencil on tracing paper, 1930, 26×19 cm",26×19 cm,ARKM.1973-05-02706,
"Philips House, Stockholm",1931,1931,"Drawing of office chair, pencil on tracing paper, 1930, 26×28 cm",26×28 cm,ARKM.1973-05-02707,
"Philips House, Stockholm",1931,1931,"Plan for executive suite, pencil and ink on tracing paper, 1930, 26×29 cm",26×29 cm,ARKM.1973-05-02691,
"National Insurance Board, Stockholm",1932,1932,"Elevation sketches, pencil on paper, ca. 1930, 17×27 cm",17×27 cm,ARKM.1973-05-03128,
"National Insurance Board, Stockholm",1932,1932,"Main elevation, feasibility study, pencil on tracing paper, 1928, 21×30 cm",21×30 cm,ARKM.1973-05-03350,
"National Insurance Board, Stockholm",1932,1932,"Ground floor plan, feasibility study, pencil on tracing paper, 1928, 21×30 cm",21×30 cm,ARKM.1973-05-03342,
"National Insurance Board, Stockholm",1932,1932,"Exterior perspective, competition panel, watercolour and pencil on cardboard, 1929, 30×30 cm",30×30 cm,ARKM.1973-05-03090,
"National Insurance Board, Stockholm",1932,1932,"Section, competition panel, pencil on cardboard, 1929, 30×30 cm",30×30 cm,ARKM.1973-05-03109,
"National Insurance Board, Stockholm",1932,1932,"Ground floor plan, competition panel, pencil on cardboard, 1929, 30×30 cm",30×30 cm,ARKM.1973-05-03100,
"National Insurance Board, Stockholm",1932,1932,"Interior perspective, watercolour and pencil on cardboard, 1929, 30×30 cm",30×30 cm,ARKM.1973-05-03097,
"National Insurance Board, Stockholm",1932,1932,"Perspective from Adolf Fredriks kyrkogata, ink on cardboard, ca. 1930, 29×37 cm",29×37 cm,ARKM.1973-05-03118,
"National Insurance Board, Stockholm",1932,1932,"Main elevation, ink on linen, 1930, 40×58 cm",40×58 cm,ARKM.1973-05-03456,
"National Insurance Board, Stockholm",1932,1932,"Section, ink on linen, 1930, 40×58 cm",40×58 cm,ARKM.1973-05-03461,
"National Insurance Board, Stockholm",1932,1932,"Section, ink on linen, 1930, 40×58 cm",40×58 cm,ARKM.1973-05-03460,
"National Insurance Board, Stockholm",1932,1932,"Ground floor plan, ink on linen, 1930, 40×58 cm",40×58 cm,ARKM.1973-05-03450,
"National Insurance Board, Stockholm",1932,1932,"Perspective of courtyard, pencil on tracing paper, ca. 1929, 21×18 cm",21×18 cm,ARKM.1973-05-03124,
"National Insurance Board, Stockholm",1932,1932,"Facade towards Adolf Fredriks kyrkogata, photo, ca. 1932",no_size,ARKM.1973-103-039-001,
"National Insurance Board, Stockholm",1932,1932,"Courtyard, photo, ca. 1932",no_size,ARKM.1988-112-3355,
"National Insurance Board, Stockholm",1932,1932,"Staff canteen, photo, ca. 1932",no_size,ARKM.1973-103-039-003,
"National Insurance Board, Stockholm",1932,1932,"Main staircase in entrance hall, photo, ca. 1932",no_size,ARKM.1973-103-039-004,
"National Insurance Board, Stockholm",1932,1932,"Director general’s office, photo, ca. 1932",no_size,ARKM.1973-103-039-007,
"National Insurance Board, Stockholm",1932,1932,"Meeting room, photo, ca. 1932",no_size,ARKM.1973-103-039-006,
"National Insurance Board, Stockholm",1932,1932,"Interior perspective of corridor (alt. I), pencil on paper, ca. 1930, 10×15 cm",10×15 cm,ARKM.1973-05-03157,
"National Insurance Board, Stockholm",1932,1932,"Interior perspective of corridor (alt. II), pencil on paper, ca. 1930, 10×15 cm",10×15 cm,ARKM.1973-05-03288,
"National Insurance Board, Stockholm",1932,1932,"Perspective sketch of main staircase, pencil on paper, ca. 1930, 28×23 cm",28×23 cm,ARKM.1973-05-03129,
"National Insurance Board, Stockholm",1932,1932,"Door handle, pencil on tracing paper, 1930, 31×23 cm",31×23 cm,ARKM.1973-05-03848,
"National Insurance Board, Stockholm",1932,1932,Chair for director general’s office,no_size,ARKM.1985-214-02,
"National Insurance Board, Stockholm",1932,1932,"Elevation of courtyard staircase, pencil on tracing paper, 1930, 52×65 cm",52×65 cm,ARKM.1973-05-03482,
"National Insurance Board, Stockholm",1932,1932,"Plan and section of courtyard staircase, pencil on tracing paper, 1930, 58×62 cm",58×62 cm,ARKM.1973-05-03274,
"Cemetery and Chapel, Enköping",1932,1932,"Exterior perspective, watercolour, gouache and pencil on cardboard, 1930, 29×31 cm",29×31 cm,ARKM.1973-05-05376,
"Cemetery and Chapel, Enköping",1932,1932,"Site plan, ink on tracing paper, 1931, 27×43 cm",27×43 cm,ARKM.1973-05-05397,
"Cemetery and Chapel, Enköping",1932,1932,"Interior perspective with catafalque, pencil on tracing paper, ca. 1931, 15×27 cm",15×27 cm,ARKM.1973-05-05386,
"Crematorium, Eastern Cemetery, Malmö",1932,1932,"Crematorium from the east, photo, ca. 1932",no_size,EX.12-14,
"Crematorium, Eastern Cemetery, Malmö",1932,1932,"Model of crematorium and burial division blocks, photo, ca. 1932",no_size,ARKM.1973-103-905,
"Crematorium, Eastern Cemetery, Malmö",1932,1932,"Section of porch, pencil on tracing paper, 1931, 43×50 cm",43×50 cm,ARKM.1973-05-10427,
"Crematorium, Eastern Cemetery, Malmö",1932,1932,"Plan of porch, pencil on tracing paper, 1931, 41×51 cm",41×51 cm,ARKM.1973-05-10423,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Urban plan, international competition proposal, pencil, ink and watercolour on paper (copy), 147×124 cm",147×124 cm,ARKM.1973-05-00141;ARKM.1973-05-00142,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Bird’s-eye view, ink on photo mounted on plasterboard, ca. 1933, 21×29 cm",21×29 cm,ARKM.1973-05-00126,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 21×27 cm",21×27 cm,ARKM.1973-05-00044,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 27×22 cm",27×22 cm,ARKM.1973-05-00045,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 21×27 cm",21×27 cm,ARKM.1973-05-00046,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 21×27 cm",21×27 cm,ARKM.1973-05-00039,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 27×30 cm",27×30 cm,ARKM.1973-05-00084,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 27×30 cm",27×30 cm,ARKM.1973-05-00083,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 20×26 cm",20×26 cm,ARKM.1973-05-00090,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 22×25 cm",22×25 cm,ARKM.1973-05-00088,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 24×22 cm",24×22 cm,ARKM.1973-05-00092,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 22×27 cm",22×27 cm,ARKM.1973-05-00093,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 22×27 cm",22×27 cm,ARKM.1973-05-00095,
"Urban Plan, Lower Norrmalm, Stockholm",1932,1932,"Perspectives of Norrbro and Gustav Adolfs torg, pencil and crayon on tracing paper, ca. 1933, 21×26 cm",21×26 cm,ARKM.1973-05-00094,
Malmö Museum,1932,1932,"Elevations, competition panel, watercolour and pencil on cardboard, Osvald Almqvist, Sigurd Lewerentz and Erik Wettergren, 1932, 60×99 cm",60×99 cm,EX.07-04,
Malmö Museum,1932,1932,"Sections, competition panel, watercolour and pencil on cardboard, 1932, 60×99 cm",60×99 cm,EX.07-03,
Malmö Museum,1932,1932,"Sections, competition panel, watercolour and pencil on cardboard, 1932, 60×99 cm",60×99 cm,EX.07-02,
Malmö Museum,1932,1932,"Main floor plan, competition panel, pencil and ink on cardboard, 1932, 60×80 cm",60×80 cm,EX.07-06,
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-14,
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-13,
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-12,
Malmö Museum,1932,1932,"Competition panels, watercolour and pencil on cardboard, 1932, 62×57 cm",62×57 cm,EX.07-10,
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Elevation and plan of colonnade, ink on tracing paper, ca. 1925, 37×40 cm",37×40 cm,ARKM.1973-05-08412,
"Main Entrance, Woodland Cemetery, Stockholm",1932,1932,"Plan and elevation of main entrance, ink, pencil and crayon on tracing paper, 1918, 78×100 cm",78×100 cm,ARKM.1973-05-08355,
